id_processo;numero;pasta;status_label;area;instancia_label;uf;comarca;tribunal_sigla;tribunal_nome;vinculo;nome_contrario;titulo_acao;valor_causa;data_cadastro;data_distribuicao;data_encerramento;fase_atual;advogado;entrou_no_dashboard
16009441;5045438-13.2026.8.24.0000;23854;Ativo;Tributário;2º Grau;SC;Florianópolis;TJSC;TJSC - Tribunal de Justiça do Estado de Santa Catarina;Agravante;MUNICÍPIO DE ITAJAÍ;;0;2026-05-22;2026-05-22;;;MAIKO ROBERTO MAIER;sim
15274111;5018540-19.2025.4.04.7200;22580;Ativo;Tributário;1º Grau;PR;Curitiba;TRF4;TRF4 - Tribunal Regional Federal da 4ª Região;Executado;UNIÃO FAZENDA NACIONAL;;154247.27;2026-01-15;2025-05-16;;;KIM AUGUSTO ZANONI;sim
14747884;5076387-54.2025.8.24.0000;21185;Ativo;Tributário;2º Grau;SC;Florianópolis;TJSC;TJSC - Tribunal de Justiça do Estado de Santa Catarina;;MUNICÍPIO DE ITAJAÍ;Agravo de Instrumento;0;2025-09-22;;;;MAIKO ROBERTO MAIER;sim
14747880;5076357-19.2025.8.24.0000;21184;Ativo;Tributário;2º Grau;SC;Florianópolis;TJSC;TJSC - Tribunal de Justiça do Estado de Santa Catarina;;PREFEITO DO MUNICÍPIO DE ITAJAÍ/SC;Agravo de Instrumento;0;2025-09-22;;;;MAIKO ROBERTO MAIER;sim
14682195;5033833-40.2022.8.24.0023;20803;Ativo;Tributário;1º Grau;SC;Itajaí;TJSC;TJSC - Tribunal de Justiça do Estado de Santa Catarina;Executado;MUNICÍPIO DE ITAJAÍ;;20641.48;2025-08-25;2022-02-24;;;KIM AUGUSTO ZANONI;sim
14682023;5142424-96.2022.8.24.0023;20802;Ativo;Tributário;1º Grau;SC;Florianópolis;TJSC;TJSC - Tribunal de Justiça do Estado de Santa Catarina;Executado;MUNICÍPIO DE ITAJAÍ;Unidade Regional - Execução Fiscal Municipal;124026.52;2025-08-25;2022-12-28;;;KIM AUGUSTO ZANONI;sim
14577565;5018357-24.2025.8.24.0033;20273;Ativo;Cível;1º Grau;SC;Itajaí;TJSC;TJSC - Tribunal de Justiça do Estado de Santa Catarina;Executado;MICROSOFT;Cumprimento de Sentença;1743.74;2025-07-07;2025-07-03;;;MAIKO ROBERTO MAIER;sim
14123083;2205302 (2025/0105301-4);19067;Baixado;Cível;Superiores;DF;Brasília;STJ;STJ - Superior Tribunal de Justiça;Recorrente;SWISS RE CORPORATE SOLUTIONS BRASIL SEGUROS S.A;REsp nº 2205302 / SC (2025/0105301-4);0;2025-04-01;2025-03-28;2025-09-15;;MAIKO ROBERTO MAIER;sim
14080060;2868666 (2025/0056886-5);18844;Ativo;Bancário;Superiores;DF;Brasília;STJ;STJ - Superior Tribunal de Justiça;;BANCO DO BRASIL S/A;AREsp nº 2868666 / SC (2025/0056886-5);0;2025-03-12;2025-03-10;;;MAIKO ROBERTO MAIER;sim
12537193;477/2024;17875;Baixado;Tributário;1º Grau;;;;;Requerente;ESTADO DE SANTA CATARINA;ICMS sobre demanda contratada (energia elétrica) Referente ao processo 0308274-73.2016.8.24.0033;0;2024-10-31;;2025-04-10;;KIM AUGUSTO ZANONI;sim
