id_processo;numero;pasta;status_label;area;instancia_label;uf;comarca;tribunal_sigla;tribunal_nome;vinculo;nome_contrario;titulo_acao;valor_causa;data_cadastro;data_distribuicao;data_encerramento;fase_atual;advogado;entrou_no_dashboard
16002959;5043476-52.2026.8.24.0000;23831;Ativo;Bancário;2º Grau;SC;Florianópolis;TJSC;TJSC - Tribunal de Justiça do Estado de Santa Catarina;Agravado;BANCO ITAÚ;Agravo de Instrumento;454360.95;2026-05-21;2026-05-18;;;MAIKO ROBERTO MAIER;sim
14980018;0017508-48.2025.8.26.0562;22377;Ativo;Cível;1º Grau;SP;Santos;TJSP;TJSP - Tribunal de Justiça do Estado de São Paulo;Executado;PIL (UK) LIMITED REPRESENTADO POR UNIMAR AGENCIAMENTOS MARÍTIMOS LTDA;Cumprimento de Sentença;197883.89;2025-12-10;2025-12-05;;;MAIKO ROBERTO MAIER;sim
14959060;10906.434179/2025-11;22278;Ativo;Aduaneiro;1º Grau;PR;Curitiba;;;Interessado;RECEITA FEDERAL DO BRASIL;Procedimento de Fiscalização de Combate às Fraudes Aduaneiras;0;2025-12-01;2025-11-14;;;KIM AUGUSTO ZANONI;sim
14910485;10906.403456/2025-44;22069;Ativo;Tributário;1º Grau;PR;Curitiba;;;Notificado;MINISTÉRIO DA FAZENDA;0917900.2025.00361-1 - Termo de Intimação Fiscal SEFIA/ALF CTA nº. 759/2025;0;2025-11-06;2025-10-21;;;KIM AUGUSTO ZANONI;sim
14888899;10906.395107/2025-41;21976;Ativo;Aduaneiro;1º Grau;PR;Curitiba;;;Notificado;ALFÂNDEGA DA RECEITA FEDERAL DO BRASIL EM CURITIBA;Termo de Distribuição de Procedimento Fiscal de Fiscalização (TDPF-F):0917900.2025.00337-9;0;2025-10-29;2025-10-27;;;KIM AUGUSTO ZANONI;sim
14853601;5032645-67.2025.4.04.0000;21759;Ativo;Tributário;2º Grau;PR;Florianópolis;TRF4;TRF4 - Tribunal Regional Federal da 4ª Região;Agravante;UNIÃO FAZENDA NACIONAL;Agravo de Instrumento;0;2025-10-10;2025-10-10;;recursal;KIM AUGUSTO ZANONI;sim
14844985;10906.337079/2025-48;21741;Ativo;Aduaneiro;1º Grau;PR;Curitiba;;;Requerido;MINISTÉRIO DA FAZENDA;Resposta à Petição;0;2025-10-09;2025-10-07;;;KIM AUGUSTO ZANONI;sim
14833472;5057345-59.2025.4.04.7000;21686;Ativo;Tributário;1º Grau;PR;Curitiba;Justiça Federal do Parana;Justiça Federal do Parana;Impetrante;Delegado da Alfândega da Receita Federal do Brasil em Curitiba/PR;Ilegalidade no procedimento fiscal de inaptidão do CNPJ;251673.84;2025-10-07;2025-10-08;;;KIM AUGUSTO ZANONI;sim
14720588;5017934-88.2025.4.04.7200;21031;Ativo;Tributário;1º Grau;PR;;TRF4;TRF4 - Tribunal Regional Federal da 4ª Região;Executado;UNIÃO FAZENDA NACIONAL;;83941.06;2025-09-09;2025-05-15;;;KIM AUGUSTO ZANONI;sim
14574143;1001665-26.2025.8.26.0562;20246;Ativo;Cível;1º Grau;SP;Santos;TJSP;TJSP - Tribunal de Justiça do Estado de São Paulo;Requerido;PIL (UK) LIMITED REPRESENTADO POR UNIMAR AGENCIAMENTOS MARÍTIMOS LTDA;Transporte de Coisas;179707.03;2025-07-04;2025-01-29;;;MAIKO ROBERTO MAIER;sim
14564382;2500000021521;20226;Ativo;Tributário;1º Grau;SC;Florianópolis;;;Autuado;SECRETARIA DE ESTADO DA FAZENDA DE SANTA CATARINA;Imposto ICMS;337665.93;2025-07-02;2025-06-11;;;KIM AUGUSTO ZANONI;sim
14527716;0000131-43.2025.8.26.0375;20065;Ativo;Marítimo;1º Grau;SP;São Paulo;TJSP;TJSP - Tribunal de Justiça do Estado de São Paulo;Executado;RICARDO MARINHO PEREIRA;Cumprimento de Sentença;40075.57;2025-06-18;2025-06-16;;;MAIKO ROBERTO MAIER;sim
12678539;0102719-21.2024.8.19.0000;18212;Ativo;Cível;2º Grau;RJ;Rio de Janeiro;TJRJ;TJRJ - Tribunal de Justiça do Estado do Rio de Janeiro;Agravante;PACIFIC MARKET INTERNATIONAL, LLC;Agravo de Instrumento;0;2024-12-10;2024-12-10;;;MAIKO ROBERTO MAIER;sim
12511187;436/2024;17729;Baixado;Aduaneiro;1º Grau;;;;;Autor;PMI SOUTH AMERICA CONSUMER GOODS LTDA;Indenização pelos prejuízos decorrentes das retenções de copos térmicos por iniciativa da Stanley;0;2024-10-16;;2025-03-30;;KIM AUGUSTO ZANONI;sim
11356341;10906.135711/2023-59;17495;Ativo;Aduaneiro;1º Grau;SC;Itajaí;RF;RF - Receita Federal;Autuado;ALFÂNDEGA DA RECEITA FEDERAL DO BRASIL NO PORTO DE ITAJAÍ/SC;Mercadoria em Abandono - Ação Judicial 5014038-05.2023.4.04.720108;0;2024-09-16;2024-09-16;;;KIM AUGUSTO ZANONI;sim
11347750;5125893-56.2024.8.24.0930;17451;Ativo;Bancário;1º Grau;SC;Florianópolis;TJSC;TJSC - Tribunal de Justiça do Estado de Santa Catarina;Autor;BANCO ITAÚ;Ação de Revisão de Contrato Bancário;454360.95;2024-09-11;2024-11-14;;;MAIKO ROBERTO MAIER;sim
11159274;5003605-74.2024.4.04.0000;16595;Baixado;Aduaneiro;2º Grau;PR;Paraná;TRF4;TRF4 - Tribunal Regional Federal da 4ª Região;Agravante;UNIÃO FAZENDA NACIONAL;Agravo de Instrumento Decisão Liminar;0;2024-06-13;2024-02-14;2024-08-21;transito_julgado;KIM AUGUSTO ZANONI;sim
10999283;1017862-44.2024.4.01.3400;15843;Ativo;Aduaneiro;1º Grau;DF;Brasília;TRF1;TRF1 - Tribunal Regional Federal da 1ª Região;Impetrante;COORDENADOR-CHEFE DO CENTRO DE JULGAMENTO DE PENALIDADES ADUANEIRAS (CEJUL);Recurso Administrativo;50000;2024-03-19;2024-03-19;;;KIM AUGUSTO ZANONI;sim
10995472;0816195-82.2024.8.19.0001;15824;Ativo;Aduaneiro;1º Grau;RJ;Rio de Janeiro;TJRJ;TJRJ - Tribunal de Justiça do Estado do Rio de Janeiro;Reu;PMI SOUTH AMERICA CONSUMER GOODS LTDA;Concorrência Desleal - Caso Stanley - Redistribuição após limitação do litisconsório ;100000;2024-03-15;2024-02-17;;;KIM AUGUSTO ZANONI;sim
10954960;5004729-44.2024.4.04.7000;15484;Baixado;Aduaneiro;2º Grau;PR;Curitiba;Justiça Federal do Parana;Justiça Federal do Parana;Impetrante;DELEGADO DA ALFÂNDEGA DA RECEITA FEDERAL DO BRASIL - UNIÃO - FAZENDA NACIONAL - CURITIBA;Liberação e mercadorias ;1000000;2024-02-14;2024-02-07;2026-01-08;;KIM AUGUSTO ZANONI;sim
10953558;10983.747042/2023-40;15476;Ativo;Aduaneiro;1º Grau;PR;Curitiba;DRF;DRF - Delegacia da Receita Federal do Brasil;Autuado;RECEITA FEDERAL DO BRASIL;Auto de infração e termo de apreensão e guarda fiscal nº 0900100-242084/2023;0;2024-02-09;;;;KIM AUGUSTO ZANONI;sim
8019833;0004104-93.2024.8.19.0000;15407;Arquivado Definitivo;Aduaneiro;1º Grau;RJ;Rio de Janeiro;TJRJ;TJRJ - Tribunal de Justiça do Estado do Rio de Janeiro;Agravante;PACIFIC MARKET INTERNATIONAL;Agravo de Instrumento com Pedido de Tutela Antecipada;0;2024-01-29;2024-01-26;2024-08-07;transito_julgado;KIM AUGUSTO ZANONI;sim
8012694;0003499-47.2024.8.19.0001;15387;Baixado;Aduaneiro;1º Grau;RJ;Rio de Janeiro;TJRJ;TJRJ - Tribunal de Justiça do Estado do Rio de Janeiro;Reu;PACIFIC MARKET INTERNATIONAL;Ação de Concorrência Desleal - Processo Principal - Stanley;0;2024-01-25;2024-01-03;2024-08-07;;KIM AUGUSTO ZANONI;sim
8003450;5076855-29.2023.4.04.7000;15332;Baixado;Aduaneiro;1º Grau;PR;Curitiba;TRF4;TRF4 - Tribunal Regional Federal da 4ª Região;Interessado;UNIÃO FAZENDA NACIONAL;Cumprimento de Decisão - Liberação Mercadoria - Stanley;326275.3;2024-01-16;2023-11-13;2024-08-21;transito_julgado;KIM AUGUSTO ZANONI;sim
7992296;1031361-78.2023.8.26.0562;15310;Arquivado Definitivo;Marítimo;2º Grau;SP;Santos;TJSP;TJSP - Tribunal de Justiça do Estado de São Paulo;Reu;FOURTH COMPANY LOGISTICS LTDA;Ação de Cobrança de Demurrage - Transporte de Coisas;143306.44;2024-01-09;2023-11-17;2026-02-26;;MAIKO ROBERTO MAIER;sim
7917167;5014038-05.2023.4.04.7201;14824;Ativo;Aduaneiro;1º Grau;PR;Joinville;TRF4;TRF4 - Tribunal Regional Federal da 4ª Região;Impetrante;UNIÃO FAZENDA NACIONAL;Aduaneira - Conhecimento de Embarque (B/L) n°. FCNB2206081, afastando a sujeição à aplicação da pena de perdimento das mercadorias em razão da não caracterização de abandono por mero decurso de prazo.  Valor da causa: R$ 236.039,21;236039.21;2023-10-17;2023-06-05;;;KIM AUGUSTO ZANONI;sim
