id_processo;numero;pasta;status_label;area;instancia_label;uf;comarca;tribunal_sigla;tribunal_nome;vinculo;nome_contrario;titulo_acao;valor_causa;data_cadastro;data_distribuicao;data_encerramento;fase_atual;advogado;entrou_no_dashboard
16337915;3304651 (2026/0258249-7);24381;Ativo;Tributário;Superiores;DF;Brasília;STJ;STJ - Superior Tribunal de Justiça;Agravante;UNIÃO FAZENDA NACIONAL;AREsp nº 3304651 / DF (2026/0258249-7);141428.28;2026-07-21;2026-06-25;;;KIM AUGUSTO ZANONI;sim
14303877;5004474-61.2025.8.24.0113;19657;Ativo;Cível;1º Grau;SC;Camboriú;TJSC;TJSC - Tribunal de Justiça do Estado de Santa Catarina;Executado;HESA 164 - INVESTIMENTOS IMOBILIARIOS LTDA.;Cumprimento de Sentença;223111.13;2025-05-15;2025-05-12;;;MAIKO ROBERTO MAIER;sim
11391557;10814.721875/2024-11;17686;Ativo;Aduaneiro;1º Grau;SC;Guarulhos;DRF;DRF - Delegacia da Receita Federal do Brasil;Notificado;RECEITA FEDERAL DO BRASIL;;0;2024-10-09;2024-09-26;;;KIM AUGUSTO ZANONI;sim
11391525;19675.720040/2021-08;17685;Ativo;Tributário;1º Grau;SC;Sorocaba;DRF;DRF - Delegacia da Receita Federal do Brasil;Notificado;RECEITA FEDERAL DO BRASIL;Edital Eletrônico: 034106174;0;2024-10-09;2024-08-27;;;MAIKO ROBERTO MAIER;sim
11341793;5031830-72.2023.4.04.7200;17290;Ativo;Tributário;1º Grau;SC;Florianópolis;TRF4;TRF4 - Tribunal Regional Federal da 4ª Região;Executado;UNIÃO FAZENDA NACIONAL;;764458.34;2024-09-04;2023-09-11;;;KIM AUGUSTO ZANONI;sim
11305077;321/2024;17131;Baixado;Tributário;1º Grau;;;;;Requerente;RECEITA FEDERAL DO BRASIL;Pedido de Restituição de Tributos das Mercadorias Objeto de Perda de Perdimento;0;2024-08-26;;2024-10-21;;KIM AUGUSTO ZANONI;sim
11300065;5035694-21.2023.4.04.7200;17111;Ativo;Tributário;1º Grau;SC;Florianópolis;TRF4;TRF4 - Tribunal Regional Federal da 4ª Região;Executado;UNIÃO FAZENDA NACIONAL;;939260.68;2024-08-21;2023-10-13;;;KIM AUGUSTO ZANONI;sim
11296968;2710705;17096;Ativo;Tributário;Superiores;DF;Brasília;;;;UNIÃO FAZENDA NACIONAL;AREsp 2710705/RS (2024/0290089-4);0;2024-08-19;2024-08-12;;;KIM AUGUSTO ZANONI;sim
11216453;5001388-77.2024.8.24.0126;16677;Ativo;Cível;1º Grau;SC;Itapoá;TJSC;TJSC - Tribunal de Justiça do Estado de Santa Catarina;Executado;HAPAG-LLOYD AG;CUMPRIMENTO DE SENTENÇA;4894.87;2024-06-26;2024-04-23;;;MAIKO ROBERTO MAIER;sim
11054065;5018480-88.2022.8.24.0045;16170;Ativo;Cível;1º Grau;SC;Palhoça;TJSC;TJSC - Tribunal de Justiça do Estado de Santa Catarina;Executado;MULTILOG BRASIL S.A.;Cumprimento de Sentença;213303.19;2024-04-26;2022-10-24;;execucao;MAIKO ROBERTO MAIER;sim
